Matias Reyes: 5.7, 6.3, 4.8, 6.5, 1.3, 2.5, 4.9, 2.2, 4.9, 5.0, 3.9, 2.3
Ricardo Rojas: 6.4, 4.9, 1.6, 2.7, 4.0, 5.6, 3.6, 5.6, 5.5, 6.5, 3.7, 1.5
Matías Pérez: 2.3, 1.7, 1.8, 1.0, 5.9, 6.6, 6.9, 1.6, 6.5, 1.9, 6.4, 6.4
Ricardo Silva: 4.5, 3.5, 1.1, 5.1, 5.7, 5.1, 4.7, 2.9, 2.7, 2.3, 4.0, 6.3
Ana Castro: 6.6, 1.5, 6.6, 4.5, 6.3, 3.0, 6.0, 6.1, 6.1, 6.2, 3.7, 6.1
Camila Fuentes: 6.0, 1.6, 2.7, 2.7, 5.9, 3.6, 2.5, 5.4, 4.8, 2.6, 1.1, 2.9
Carlos Guzmán: 2.2, 6.5, 1.2, 6.3, 2.8, 3.5, 3.6, 6.1, 6.2, 6.8, 5.1, 3.4
Emilia Castro: 3.5, 3.7, 4.3, 6.5, 3.0, 5.8, 5.9, 4.4, 6.7, 1.6, 3.4, 4.4
Valentina García: 5.9, 5.4, 4.9, 1.5, 1.5, 6.7, 2.8, 4.8, 2.4, 5.5, 6.0, 1.9
Sofía Molina: 3.9, 6.9, 3.1, 2.3, 5.6, 4.0, 6.3, 4.6, 3.1, 3.0, 3.5, 1.2
Sofía Guzmán: 3.6, 2.9, 2.1, 2.9, 3.6, 5.9, 4.5, 2.7, 5.5, 1.2, 3.3, 4.3
Frana Thefrog: 2.4, 1.3, 1.4, 2.2, 2.7, 1.1, 3.6, 7.0, 2.1, 7.0, 1.8, 3.5
Sofía García: 2.2, 4.6, 1.6, 4.3, 1.3, 4.5, 6.9, 5.6, 1.1, 1.2, 2.1, 1.0
Fernanda Guzmán: 5.2, 2.6, 6.3, 4.9, 3.8, 6.3, 3.2, 1.4, 1.5, 2.6, 6.3, 5.1
Martina Vargas: 6.6, 3.9, 3.0, 3.3, 6.0, 6.5, 2.7, 4.7, 5.0, 2.2, 2.8, 1.8
Andrés Ramírez: 6.1, 6.2, 5.9, 6.0, 6.8, 5.1, 5.6, 6.3, 4.1, 4.4, 3.4, 1.9
Camila Pérez: 5.1, 5.4, 6.3, 4.4, 6.1, 4.0, 3.9, 3.3, 4.7, 2.2, 2.2, 4.1
Alexander Santander: 6.4, 1.8, 1.1, 6.7, 6.0, 5.5, 2.2, 3.8, 6.6, 5.8, 2.1, 2.7
Ricardo Pérez: 2.7, 5.4, 5.5, 4.8, 1.6, 2.5, 4.4, 5.2, 3.9, 1.5, 2.8, 6.4
Camila Rojas: 4.3, 2.6, 2.8, 1.9, 3.6, 1.2, 3.8, 3.3, 1.8, 5.5, 3.5, 1.4
Ana Sánchez: 4.3, 3.3, 1.4, 6.8, 1.2, 1.1, 3.3, 1.1, 6.7, 1.2, 6.9, 3.8
Gabriel Herrera: 4.1, 6.1, 2.4, 2.9, 6.1, 1.2, 6.3, 5.7, 2.1, 5.9, 6.0, 6.8
Carlos Ramírez: 5.6, 3.5, 3.3, 5.7, 2.9, 3.5, 5.6, 6.8, 5.1, 4.9, 2.3, 6.4
Jorge Pérez: 2.3, 4.1, 4.2, 6.2, 4.6, 5.9, 4.3, 4.5, 4.4, 1.7, 2.5, 5.2
Seaman González: 6.7, 4.1, 6.2, 4.5, 5.3, 1.7, 1.1, 1.1, 1.2, 2.4, 6.5, 1.9
Lucía Castro: 3.0, 5.3, 1.8, 5.7, 6.4, 3.7, 7.0, 2.8, 3.4, 4.1, 5.7, 4.2
Emilia Reyes: 4.6, 2.3, 6.4, 2.6, 1.3, 4.8, 4.5, 6.7, 5.8, 1.2, 2.3, 4.5
Ailin Mirror: 2.8, 1.8, 6.6, 6.2, 1.8, 6.2, 4.3, 1.5, 6.1, 6.4, 3.6, 5.0
Paula Ortega: 3.6, 4.2, 1.3, 2.1, 2.3, 5.3, 2.0, 5.2, 1.3, 6.2, 5.8, 6.8
Lucía Flores: 2.2, 6.2, 1.9, 1.6, 3.4, 3.3, 4.5, 2.1, 3.2, 2.0, 2.0, 2.8
